Index | Value | Parent | Sibling
1 | program | 0 | 0
2 | declaration_list | 1 | 0
3 | statements | 1 | 2
4 | declaration | 2 | 0
5 | declaration_list | 2 | 4
6 | var_type | 4 | 0
7 | identifier | 4 | 6
8 | equal_expression | 4 | 7
9 | ; | 4 | 8
10 | float | 6 | 0
11 | epsilon | 8 | 0
12 | declaration | 5 | 0
13 | declaration_list | 5 | 12
14 | var_type | 12 | 0
15 | identifier | 12 | 14
16 | equal_expression | 12 | 15
17 | ; | 12 | 16
18 | int | 14 | 0
19 | = | 16 | 0
20 | expression | 16 | 19
21 | term | 20 | 0
22 | sign_and_expression | 20 | 21
23 | constant | 21 | 0
24 | sign | 22 | 0
25 | expression | 22 | 24
26 | + | 24 | 0
27 | term | 25 | 0
28 | sign_and_expression | 25 | 27
29 | constant | 27 | 0
30 | epsilon | 28 | 0
31 | declaration | 13 | 0
32 | declaration_list | 13 | 31
33 | var_type | 31 | 0
34 | identifier | 31 | 33
35 | equal_expression | 31 | 34
36 | ; | 31 | 35
37 | int | 33 | 0
38 | = | 35 | 0
39 | expression | 35 | 38
40 | term | 39 | 0
41 | sign_and_expression | 39 | 40
42 | constant | 40 | 0
43 | epsilon | 41 | 0
44 | declaration | 32 | 0
45 | declaration_list | 32 | 44
46 | var_type | 44 | 0
47 | identifier | 44 | 46
48 | equal_expression | 44 | 47
49 | ; | 44 | 48
50 | int | 46 | 0
51 | epsilon | 48 | 0
52 | epsilon | 45 | 0
53 | statement | 3 | 0
54 | statements | 3 | 53
55 | simple_stmt | 53 | 0
56 | input_output_stmt | 55 | 0
57 | read | 56 | 0
58 | ( | 56 | 57
59 | term | 56 | 58
60 | ) | 56 | 59
61 | ; | 56 | 60
62 | identifier | 59 | 0
63 | statement | 54 | 0
64 | statements | 54 | 63
65 | simple_stmt | 63 | 0
66 | input_output_stmt | 65 | 0
67 | read | 66 | 0
68 | ( | 66 | 67
69 | term | 66 | 68
70 | ) | 66 | 69
71 | ; | 66 | 70
72 | identifier | 69 | 0
73 | statement | 64 | 0
74 | statements | 64 | 73
75 | simple_stmt | 73 | 0
76 | input_output_stmt | 75 | 0
77 | read | 76 | 0
78 | ( | 76 | 77
79 | term | 76 | 78
80 | ) | 76 | 79
81 | ; | 76 | 80
82 | identifier | 79 | 0
83 | statement | 74 | 0
84 | statements | 74 | 83
85 | struct_stmt | 83 | 0
86 | if_stmt | 85 | 0
87 | if | 86 | 0
88 | ( | 86 | 87
89 | condition | 86 | 88
90 | ) | 86 | 89
91 | { | 86 | 90
92 | statements | 86 | 91
93 | } | 86 | 92
94 | else_stmt | 86 | 93
95 | expression | 89 | 0
96 | relation | 89 | 95
97 | expression | 89 | 96
98 | term | 95 | 0
99 | sign_and_expression | 95 | 98
100 | identifier | 98 | 0
101 | epsilon | 99 | 0
102 | >= | 96 | 0
103 | term | 97 | 0
104 | sign_and_expression | 97 | 103
105 | identifier | 103 | 0
106 | epsilon | 104 | 0
107 | statement | 92 | 0
108 | statements | 92 | 107
109 | simple_stmt | 107 | 0
110 | assignment_stmt | 109 | 0
111 | identifier | 110 | 0
112 | = | 110 | 111
113 | expression | 110 | 112
114 | ; | 110 | 113
115 | term | 113 | 0
116 | sign_and_expression | 113 | 115
117 | identifier | 115 | 0
118 | epsilon | 116 | 0
119 | epsilon | 108 | 0
120 | else | 94 | 0
121 | { | 94 | 120
122 | statements | 94 | 121
123 | } | 94 | 122
124 | statement | 122 | 0
125 | statements | 122 | 124
126 | simple_stmt | 124 | 0
127 | assignment_stmt | 126 | 0
128 | identifier | 127 | 0
129 | = | 127 | 128
130 | expression | 127 | 129
131 | ; | 127 | 130
132 | term | 130 | 0
133 | sign_and_expression | 130 | 132
134 | identifier | 132 | 0
135 | epsilon | 133 | 0
136 | epsilon | 125 | 0
137 | statement | 84 | 0
138 | statements | 84 | 137
139 | struct_stmt | 137 | 0
140 | if_stmt | 139 | 0
141 | if | 140 | 0
142 | ( | 140 | 141
143 | condition | 140 | 142
144 | ) | 140 | 143
145 | { | 140 | 144
146 | statements | 140 | 145
147 | } | 140 | 146
148 | else_stmt | 140 | 147
149 | expression | 143 | 0
150 | relation | 143 | 149
151 | expression | 143 | 150
152 | term | 149 | 0
153 | sign_and_expression | 149 | 152
154 | identifier | 152 | 0
155 | epsilon | 153 | 0
156 | > | 150 | 0
157 | term | 151 | 0
158 | sign_and_expression | 151 | 157
159 | identifier | 157 | 0
160 | epsilon | 158 | 0
161 | statement | 146 | 0
162 | statements | 146 | 161
163 | simple_stmt | 161 | 0
164 | assignment_stmt | 163 | 0
165 | identifier | 164 | 0
166 | = | 164 | 165
167 | expression | 164 | 166
168 | ; | 164 | 167
169 | term | 167 | 0
170 | sign_and_expression | 167 | 169
171 | identifier | 169 | 0
172 | epsilon | 170 | 0
173 | epsilon | 162 | 0
174 | epsilon | 148 | 0
175 | statement | 138 | 0
176 | statements | 138 | 175
177 | simple_stmt | 175 | 0
178 | input_output_stmt | 177 | 0
179 | print | 178 | 0
180 | ( | 178 | 179
181 | term | 178 | 180
182 | ) | 178 | 181
183 | ; | 178 | 182
184 | identifier | 181 | 0
185 | epsilon | 176 | 0
